## Module List

| # | Module Folder | Display Name | Version | Category | Custom Addon Dependencies | Generate Docs | Analyze Module |
|---|---|---|---|---|---|---|---|
| 1 | `activity_modification` | Activity Modification Module | 18.0.1.0.9 | Activity Modification | web | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/activity_modification docs/modules/core/activity_modification` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/activity_modification` |
| 2 | `api_buildingconnected` | API Integration BuildingConnected | 0.02 | — | api_source, common_logging | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/api_buildingconnected docs/modules/api_integration/api_buildingconnected` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/api_buildingconnected` |
| 3 | `api_highergov` | API Integration HigherGov | 0.09 | — | api_source, common_logging | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/api_highergov docs/modules/api_integration/api_highergov` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/api_highergov` |
| 4 | `api_source` | API Lead Sources | 0.67 | — | common_logging | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/api_source docs/modules/api_integration/api_source` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/api_source` |
| 5 | `api_template` | API Integration Template | 0.01 | — | api_source | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/api_template docs/modules/api_integration/api_template` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/api_template` |
| 6 | `api_txsmartbuy` | API Integration TxSmartBuy | 0.01 | — | api_source, common_logging | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/api_txsmartbuy docs/modules/api_integration/api_txsmartbuy` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/api_txsmartbuy` |
| 7 | `bd_sourcesought` | BD Sources Sought (Pre-Estimating) | 18.0.1.5.7 | Sales/CRM | common_logging, activity_modification, crm_custom_fields, search_leads, opportunity_project_port, project_mail_history | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/bd_sourcesought docs/modules/utilities/bd_sourcesought` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/bd_sourcesought` |
| 8 | `capa` | CAPA (Corrective Action and Preventive Action) | 18.0.1.0.2 | Quality | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/capa docs/modules/utilities/capa` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/capa` |
| 9 | `common_logging` | Common Logging Utilities | 18.0.1.0.2 | Technical | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/common_logging docs/modules/utilities/common_logging` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/common_logging` |
| 10 | `company_information` | Company Information | 18.0.1.1.16 | Administration | web | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/company_information docs/modules/utilities/company_information` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/company_information` |
| 11 | `contact_company_employee` | Contacts Company-Employee relationship | 18.0.1.0.0 | Contacts | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/contact_company_employee docs/modules/contacts/contact_company_employee` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/contact_company_employee` |
| 12 | `contact_style` | Contact Fields Style: Customize Contact Fields Appearance | 1.0 | Contact Management | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/contact_style docs/modules/contacts/contact_style` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/contact_style` |
| 13 | `contacts_parent_company` | Contacts: Parent Company Label | 18.0.1.0.0 | — | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/contacts_parent_company docs/modules/contacts/contacts_parent_company` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/contacts_parent_company` |
| 14 | `contacts_subcontractor_requirements` | Contacts Subcontractor Requirements | 18.0.1.2.1 | Contacts | contacts_type, project_custom_fields, crm_custom_fields | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/contacts_subcontractor_requirements docs/modules/contacts/contacts_subcontractor_requirements` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/contacts_subcontractor_requirements` |
| 15 | `contacts_tasks` | Contacts Task Tab | 18.0.1.1.0 | Contacts | activity_modification | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/contacts_tasks docs/modules/contacts/contacts_tasks` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/contacts_tasks` |
| 16 | `contacts_type` | Contact Types | 18.0.1.0.0 | Contacts | contact_style | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/contacts_type docs/modules/contacts/contacts_type` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/contacts_type` |
| 17 | `crm_ammendums` | CRM Ammendums Module | 18.0.1.0.0 | CRM | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/crm_ammendums docs/modules/crm/crm_ammendums` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/crm_ammendums` |
| 18 | `crm_bdo_kpi_dashboard` | Business Development KPI Dashboard | 18.0.1.0.0 | CRM | crm_business_dev, customization_left_menu | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/crm_bdo_kpi_dashboard docs/modules/crm/crm_bdo_kpi_dashboard` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/crm_bdo_kpi_dashboard` |
| 19 | `crm_business_dev` | Business Developement Module | 18.0.1.0.1 | API | crm_custom_fields, activity_modification, ticket_system | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/crm_business_dev docs/modules/api_integration/crm_business_dev` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/crm_business_dev` |
| 20 | `crm_custom_fields` | CRM Custom Fields | 18.0.1.0.26 | Sales | web, ticket_system, activity_modification, common_logging, subcontractor_evaluation | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/crm_custom_fields docs/modules/crm/crm_custom_fields` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/crm_custom_fields` |
| 21 | `crm_dashboard` | CRM Dashboard | 18.0.1.0.0 | CRM | crm_custom_fields | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/crm_dashboard docs/modules/crm/crm_dashboard` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/crm_dashboard` |
| 22 | `crm_fields_style` | CRM Fields Style: Customize CRM Fields Appearance | 1.0.8 | CRM Management | crm_custom_fields | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/crm_fields_style docs/modules/crm/crm_fields_style` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/crm_fields_style` |
| 23 | `crm_notes` | CRM Notes Module | 18.0.1.0.0 | Project | crm_custom_fields | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/crm_notes docs/modules/project/crm_notes` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/crm_notes` |
| 24 | `crm_sales_modification` | CRM Sales Modification | 18.0.1.0.0 | API | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/crm_sales_modification docs/modules/api_integration/crm_sales_modification` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/crm_sales_modification` |
| 25 | `crm_share_link` | CRM Leads/Opportunities Link Share | 18.0.1.0.0 | CRM | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/crm_share_link docs/modules/crm/crm_share_link` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/crm_share_link` |
| 26 | `customization_chatter_toggle` | Chatter Toggle | 18.0.1.0.0 | Customization | web | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/customization_chatter_toggle docs/modules/utilities/customization_chatter_toggle` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/customization_chatter_toggle` |
| 27 | `customization_left_menu` | Custom Menu Redirect | 18.0.1.0.0 | Customization | web | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/customization_left_menu docs/modules/utilities/customization_left_menu` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/customization_left_menu` |
| 28 | `document_library` | Document Library | 18.0.2.0.0 | Documents | common_logging, web | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/document_library docs/modules/core/document_library` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/document_library` |
| 29 | `emails_asana_accounts` | Emails Asana Account .COM | 18.0.1.0.0 | KPI | common_logging | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/emails_asana_accounts docs/modules/utilities/emails_asana_accounts` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/emails_asana_accounts` |
| 30 | `employee_custom_fields` | Employee Custom Fields | 18.0.1.0.0 | Sales/Partners | hr_employee_certifications, project_custom_fields | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/employee_custom_fields docs/modules/hr/employee_custom_fields` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/employee_custom_fields` |
| 31 | `employees_department_custom_fields` | Employee Department Custom Fields | 18.0.3.1.6 | Sales/Partners | web_timeline, activity_modification, document_library, common_logging | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/employees_department_custom_fields docs/modules/hr/employees_department_custom_fields` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/employees_department_custom_fields` |
| 32 | `hr_attendance_break` | HR Attendance Break | 18.0.1.0.0 | Human Resources | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_attendance_break docs/modules/hr/hr_attendance_break` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_attendance_break` |
| 33 | `hr_employee_additional_information` | HR Employee Extended Information | 18.0.1.2.0 | Human Resources | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_additional_information docs/modules/hr/hr_employee_additional_information` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_additional_information` |
| 34 | `hr_employee_age` | Employee Age | 18.0.1.0.0 | Human Resources | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_age docs/modules/hr/hr_employee_age` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_age` |
| 35 | `hr_employee_alias_email` | Employee Alias Email | 18.0.1.0.0 | Human Resources | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_alias_email docs/modules/hr/hr_employee_alias_email` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_alias_email` |
| 36 | `hr_employee_birthday` | Employee Birthday Report & Notifications | 18.0.1.0.0 | Human Resources | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_birthday docs/modules/hr/hr_employee_birthday` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_birthday` |
| 37 | `hr_employee_certifications` | HR Employee Certifications | 18.0.1.0.1 | Human Resources | employees_department_custom_fields, common_logging, activity_modification | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_certifications docs/modules/hr/hr_employee_certifications` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_certifications` |
| 38 | `hr_employee_dashboard` | HR Employee Dashboard | 18.0.1.0.0 | Human Resources | hr_employee_additional_information | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_dashboard docs/modules/hr/hr_employee_dashboard` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_dashboard` |
| 39 | `hr_employee_dial_in_field` | Employee Dial In | 18.0.1.0.0 | Human Resources | — | `python tools/generate_docs.py X:/03_ACG/Custom_Addons/hr_employee_dial_in_field docs/modules/hr/hr_employee_dial_in_field` | `python tools/analyze_module.py X:/03_ACG/Custom_Addons/hr_employee_dial_in_field` |
